customer_id,recency,frequency,monetary,cluster,segment,customer_name,diet_profile,city
1,63,1,837.0,1,New / Occasional,Aravind Kumar 101,Flexitarian,Chennai
2,6,23,13264.9,1,New / Occasional,Priya Swaminathan 102,Flexitarian,Chennai
3,120,8,4308.25,1,New / Occasional,Karthik Babu 103,Flexitarian,Chennai
4,41,5,2298.1,1,New / Occasional,Deepa Natarajan 104,Flexitarian,Chennai
5,361,1,100.0,0,At Risk / Churning,Siddharth Mudaliar 105,Pure Veg,Chennai
6,8,15,6944.79,1,New / Occasional,Bhavana Kumar 106,Flexitarian,Chennai
7,71,6,1872.6,1,New / Occasional,Ramesh Swaminathan 107,Flexitarian,Chennai
8,23,6,2576.0,1,New / Occasional,Lakshmi Babu 108,Flexitarian,Chennai
9,253,1,220.0,0,At Risk / Churning,Vijay Natarajan 109,Pure Veg,Chennai
10,5,27,14121.31,3,Steady Regulars,Ananya Mudaliar 110,Flexitarian,Chennai
11,55,12,4448.14,1,New / Occasional,Suresh Kumar 111,Flexitarian,Chennai
12,108,4,2078.3,1,New / Occasional,Divya Swaminathan 112,Flexitarian,Chennai
13,291,1,362.0,0,At Risk / Churning,Ganesh Babu 113,Pure Veg,Chennai
14,340,1,675.0,0,At Risk / Churning,Meena Natarajan 114,Pure Veg,Chennai
15,84,3,1324.89,1,New / Occasional,Rajesh Mudaliar 115,Flexitarian,Chennai
16,294,2,1112.09,0,At Risk / Churning,Kavitha Kumar 116,Flexitarian,Chennai
17,9,2,1309.5,1,New / Occasional,Venkatesh Swaminathan 117,Pure Veg,Chennai
18,194,3,1714.0,0,At Risk / Churning,Nandhini Babu 118,Flexitarian,Chennai
19,57,1,693.0,1,New / Occasional,Santhosh Natarajan 119,Pure Veg,Chennai
20,19,4,1648.35,1,New / Occasional,Swetha Mudaliar 120,Flexitarian,Chennai
21,44,2,497.0,1,New / Occasional,Aravind Kumar 121,Pure Veg,Chennai
22,100,1,357.0,1,New / Occasional,Priya Swaminathan 122,Pure Veg,Chennai
23,114,1,410.4,1,New / Occasional,Karthik Babu 123,Pure Veg,Chennai
24,9,5,2919.4,1,New / Occasional,Deepa Natarajan 124,Flexitarian,Chennai
25,109,6,2550.0,1,New / Occasional,Siddharth Mudaliar 125,Flexitarian,Chennai
26,4,17,8167.45,1,New / Occasional,Bhavana Kumar 126,Flexitarian,Chennai
27,7,33,15980.79,3,Steady Regulars,Ramesh Swaminathan 127,Flexitarian,Chennai
28,21,12,8052.61,1,New / Occasional,Lakshmi Babu 128,Flexitarian,Chennai
29,8,4,1573.4,1,New / Occasional,Vijay Natarajan 129,Flexitarian,Chennai
30,14,7,2702.0,1,New / Occasional,Ananya Mudaliar 130,Flexitarian,Chennai
31,83,1,200.0,1,New / Occasional,Suresh Kumar 131,Flexitarian,Chennai
32,245,1,459.0,0,At Risk / Churning,Divya Swaminathan 132,Pure Veg,Chennai
33,18,18,7908.48,1,New / Occasional,Ganesh Babu 133,Flexitarian,Chennai
34,261,1,220.0,0,At Risk / Churning,Meena Natarajan 134,Pure Veg,Chennai
35,184,3,1351.07,0,At Risk / Churning,Rajesh Mudaliar 135,Flexitarian,Chennai
36,125,2,570.0,1,New / Occasional,Kavitha Kumar 136,Pure Veg,Chennai
37,52,4,1801.7,1,New / Occasional,Venkatesh Swaminathan 137,Flexitarian,Chennai
38,47,5,1337.0,1,New / Occasional,Nandhini Babu 138,Pure Veg,Chennai
39,312,1,391.5,0,At Risk / Churning,Santhosh Natarajan 139,Flexitarian,Chennai
40,6,33,15899.06,3,Steady Regulars,Swetha Mudaliar 140,Flexitarian,Chennai
41,3,9,4095.6,1,New / Occasional,Aravind Kumar 141,Flexitarian,Chennai
42,5,17,7811.3,1,New / Occasional,Priya Swaminathan 142,Flexitarian,Chennai
43,19,9,6747.49,1,New / Occasional,Karthik Babu 143,Flexitarian,Chennai
44,96,4,1509.47,1,New / Occasional,Deepa Natarajan 144,Flexitarian,Chennai
45,17,14,7416.22,1,New / Occasional,Siddharth Mudaliar 145,Flexitarian,Chennai
46,79,2,876.8,1,New / Occasional,Bhavana Kumar 146,Pure Veg,Chennai
47,241,2,512.54,0,At Risk / Churning,Ramesh Swaminathan 147,Flexitarian,Chennai
48,77,3,1731.0,1,New / Occasional,Lakshmi Babu 148,Flexitarian,Chennai
49,38,1,360.0,1,New / Occasional,Vijay Natarajan 149,Pure Veg,Chennai
50,14,10,6212.28,1,New / Occasional,Ananya Mudaliar 150,Flexitarian,Chennai
51,39,1,594.0,1,New / Occasional,Suresh Kumar 151,Flexitarian,Chennai
52,105,2,656.0,1,New / Occasional,Divya Swaminathan 152,Flexitarian,Chennai
53,23,7,2303.95,1,New / Occasional,Ganesh Babu 153,Flexitarian,Chennai
54,81,7,2726.45,1,New / Occasional,Meena Natarajan 154,Flexitarian,Chennai
55,182,2,2286.0,0,At Risk / Churning,Rajesh Mudaliar 155,Pure Veg,Chennai
56,4,52,28687.41,3,Steady Regulars,Kavitha Kumar 156,Flexitarian,Chennai
57,72,6,2512.3,1,New / Occasional,Venkatesh Swaminathan 157,Flexitarian,Chennai
58,66,3,1118.0,1,New / Occasional,Nandhini Babu 158,Flexitarian,Chennai
