order_id,customer_name,customer_city,restaurant_name,restaurant_city,primary_cuisine,order_date,order_time_slot,veg_season_tag,is_veg_order,item_count,gross_amount,discount_pct,discount_amount,delivery_fee,final_amount,delivery_time_min,rating_given,etl_status
100001,Lakshmi Babu 1728,Chennai,THE NEW BOX,Chennai (Purasawalkam),Chinese,2025-01-01,Afternoon,Regular,1,1,260.0,0,0.0,30.0,290.0,27,5.0,CLEANED_DEDUPLICATED
100002,Ananya Mudaliar 1690,Chennai,Liza Restaurant (Halal),Chennai (Purasawalkam),Arabian,2025-01-01,Evening,Regular,0,5,763.0,10,76.3,0.0,686.7,35,4.0,CLEANED_DEDUPLICATED
100003,Vijay Natarajan 1629,Chennai,Lassi Coruscoa,Chennai (Mogappair),Desserts,2025-01-01,Afternoon,Regular,1,2,233.0,0,0.0,30.0,263.0,30,4.0,CLEANED_DEDUPLICATED
100004,Venkatesh Swaminathan 1057,Chennai,Guest Hotel,Chennai (Purasawalkam),South Indian,2025-01-01,Night,Regular,1,3,449.0,10,44.9,0.0,404.1,42,5.0,CLEANED_DEDUPLICATED
100005,Divya Swaminathan 1932,Chennai,PARFAIT CAKES N BAKES,Chennai (Annanagar),Bakery,2025-01-01,Night,Regular,0,3,542.37,10,54.24,0.0,488.13,24,5.0,CLEANED_DEDUPLICATED
100006,Kavitha Kumar 2176,Chennai,Royal Sandwich,Chennai (Guindy),Juices,2025-01-01,Evening,Regular,0,4,927.0,10,92.7,0.0,834.3,27,5.0,CLEANED_DEDUPLICATED
100007,Kavitha Kumar 1296,Chennai,Hotel Shiva Sagar,Chennai (Purasawalkam),North Indian,2025-01-01,Afternoon,Regular,1,5,721.0,10,72.1,0.0,648.9,24,4.0,CLEANED_DEDUPLICATED
100008,Meena Natarajan 1854,Chennai,Sangeetha Veg Restaurant,Chennai (Poonamallee),South Indian,2025-01-01,Afternoon,Regular,1,2,565.0,10,56.5,0.0,508.5,34,5.0,CLEANED_DEDUPLICATED
100009,Nandhini Babu 698,Chennai,Masaledaar Desi Rasoi,Chennai (Egmore),North Indian,2025-01-01,Evening,Regular,1,2,270.0,0,0.0,30.0,300.0,27,5.0,CLEANED_DEDUPLICATED
100010,Ramesh Swaminathan 1367,Chennai,LAKSHMI RESTAURANT,Chennai (Poonamallee),Indian,2025-01-01,Afternoon,Regular,1,1,160.0,0,0.0,30.0,190.0,37,4.0,CLEANED_DEDUPLICATED
100011,Divya Swaminathan 1792,Chennai,Royal Sandwich,Chennai (Guindy),Juices,2025-01-01,Morning,Regular,1,2,209.0,0,0.0,30.0,239.0,24,5.0,CLEANED_DEDUPLICATED
100012,Swetha Mudaliar 980,Chennai,Taj Restaurant,Chennai (Poonamallee),North Indian,2025-01-01,Evening,Regular,0,5,750.0,10,75.0,0.0,675.0,29,3.0,CLEANED_DEDUPLICATED
100013,Venkatesh Swaminathan 1177,Chennai,Lassi Coruscoa,Chennai (Mogappair),Desserts,2025-01-01,Morning,Regular,1,2,206.0,0,0.0,30.0,236.0,27,4.0,CLEANED_DEDUPLICATED
