customer_id,customer_name,city,diet_profile,signup_date
1,Aravind Kumar 101,Chennai,Flexitarian,2024-04-12
2,Priya Swaminathan 102,Chennai,Flexitarian,2024-12-14
3,Karthik Babu 103,Chennai,Flexitarian,2024-09-27
4,Deepa Natarajan 104,Chennai,Flexitarian,2024-04-16
5,Siddharth Mudaliar 105,Chennai,Pure Veg,2024-03-12
6,Bhavana Kumar 106,Chennai,Flexitarian,2024-07-07
7,Ramesh Swaminathan 107,Chennai,Flexitarian,2024-01-21
8,Lakshmi Babu 108,Chennai,Flexitarian,2024-04-12
9,Vijay Natarajan 109,Chennai,Pure Veg,2024-05-01
10,Ananya Mudaliar 110,Chennai,Flexitarian,2024-08-02
11,Suresh Kumar 111,Chennai,Flexitarian,2024-11-26
12,Divya Swaminathan 112,Chennai,Flexitarian,2024-03-28
13,Ganesh Babu 113,Chennai,Pure Veg,2024-04-09
14,Meena Natarajan 114,Chennai,Pure Veg,2024-12-25
15,Rajesh Mudaliar 115,Chennai,Flexitarian,2024-05-31
16,Kavitha Kumar 116,Chennai,Flexitarian,2024-05-10
17,Venkatesh Swaminathan 117,Chennai,Pure Veg,2024-05-29
18,Nandhini Babu 118,Chennai,Flexitarian,2024-11-04
19,Santhosh Natarajan 119,Chennai,Pure Veg,2024-09-14
20,Swetha Mudaliar 120,Chennai,Flexitarian,2024-12-09
21,Aravind Kumar 121,Chennai,Pure Veg,2024-10-20
22,Priya Swaminathan 122,Chennai,Pure Veg,2024-07-10
23,Karthik Babu 123,Chennai,Pure Veg,2024-10-03
24,Deepa Natarajan 124,Chennai,Flexitarian,2024-06-09
25,Siddharth Mudaliar 125,Chennai,Flexitarian,2024-11-09
26,Bhavana Kumar 126,Chennai,Flexitarian,2024-01-22
27,Ramesh Swaminathan 127,Chennai,Flexitarian,2024-09-09
28,Lakshmi Babu 128,Chennai,Flexitarian,2024-08-23
29,Vijay Natarajan 129,Chennai,Flexitarian,2024-12-10
30,Ananya Mudaliar 130,Chennai,Flexitarian,2024-02-18
31,Suresh Kumar 131,Chennai,Flexitarian,2024-02-28
32,Divya Swaminathan 132,Chennai,Pure Veg,2024-06-18
