customer_id,customer_name,age,gender,city,diet_profile,signup_date
1,Senthil Kumar 1,46,Male,Chennai,flexitarian,2025-08-07
2,Revathi Nair 2,32,Male,Chennai,flexitarian,2025-02-02
3,Venkatesh Iyer 3,25,Male,Chennai,flexitarian,2024-12-09
4,Arun Balaji 4,38,Female,Chennai,flexitarian,2024-05-19
5,Priya Sundaram 5,36,Male,Chennai,mostly_veg,2024-07-05
6,Deepika Reddy 6,40,Male,Chennai,mostly_veg,2024-03-01
7,Ramesh Babu 7,28,Female,Chennai,flexitarian,2025-01-14
8,Karthik Raja 8,28,Female,Chennai,mostly_nonveg,2025-12-10
9,Karthik Raja 9,41,Female,Chennai,flexitarian,2025-03-15
10,Priya Sundaram 10,53,Male,Chennai,flexitarian,2024-11-14
11,Divya Lakshmi 11,41,Female,Chennai,mostly_veg,2024-10-28
12,Divya Lakshmi 12,20,Male,Chennai,flexitarian,2024-12-09
13,Arun Balaji 13,39,Male,Chennai,flexitarian,2024-01-11
14,Deepika Reddy 14,19,Male,Chennai,mostly_veg,2024-03-02
15,Karthik Raja 15,41,Male,Chennai,mostly_veg,2024-08-13
16,Arun Balaji 16,47,Female,Chennai,flexitarian,2024-06-01
17,Divya Lakshmi 17,19,Female,Chennai,mostly_veg,2025-12-11
18,Revathi Nair 18,38,Male,Chennai,mostly_veg,2025-07-17
19,Senthil Kumar 19,50,Male,Chennai,mostly_veg,2025-07-24
20,Revathi Nair 20,29,Male,Chennai,mostly_veg,2025-08-06
21,Arun Balaji 21,39,Female,Chennai,mostly_veg,2025-10-21
22,Ramesh Babu 22,42,Male,Chennai,mostly_nonveg,2025-07-28
23,Divya Lakshmi 23,44,Male,Chennai,flexitarian,2024-11-05
24,Meena Kothari 24,45,Female,Chennai,flexitarian,2024-08-30
25,Deepika Reddy 25,33,Female,Chennai,flexitarian,2025-05-07
26,Vijay Kumar 26,32,Male,Chennai,flexitarian,2024-12-31
27,Ganesh Murugan 27,20,Female,Chennai,mostly_veg,2024-11-25
28,Bhavana Rao 28,54,Female,Chennai,flexitarian,2024-04-16
29,Karthik Raja 29,24,Male,Chennai,flexitarian,2024-08-13
30,Ganesh Murugan 30,38,Female,Chennai,flexitarian,2024-08-05
31,Ganesh Murugan 31,26,Male,Chennai,flexitarian,2025-05-20
32,Anand Krishnan 32,35,Female,Chennai,mostly_veg,2024-09-15
33,Revathi Nair 33,21,Male,Chennai,mostly_veg,2025-05-31
34,Ramesh Babu 34,42,Male,Chennai,flexitarian,2024-02-23
35,Sangeetha Raman 35,31,Male,Chennai,flexitarian,2024-02-16
36,Vijay Kumar 36,26,Female,Chennai,flexitarian,2025-12-27
37,Anand Krishnan 37,43,Male,Chennai,flexitarian,2025-11-19
38,Divya Lakshmi 38,19,Female,Chennai,mostly_nonveg,2025-06-04
39,Ganesh Murugan 39,37,Male,Chennai,flexitarian,2024-04-08
40,Sangeetha Raman 40,45,Male,Chennai,mostly_veg,2024-01-20
41,Priya Sundaram 41,24,Female,Chennai,mostly_veg,2025-07-26
42,Priya Sundaram 42,25,Male,Chennai,mostly_veg,2025-05-04
43,Ramesh Babu 43,52,Male,Chennai,mostly_veg,2025-02-22
44,Priya Sundaram 44,31,Female,Chennai,mostly_veg,2025-11-20
45,Sangeetha Raman 45,34,Male,Chennai,mostly_veg,2024-03-02
46,Bhavana Rao 46,53,Male,Chennai,mostly_veg,2024-05-24
47,Sangeetha Raman 47,21,Male,Chennai,mostly_veg,2024-08-03
48,Deepika Reddy 48,19,Male,Chennai,mostly_nonveg,2024-01-03
49,Vijay Kumar 49,23,Female,Chennai,mostly_veg,2024-06-08
50,Ganesh Murugan 50,21,Female,Chennai,flexitarian,2024-04-29
51,Karthik Raja 51,46,Male,Chennai,flexitarian,2024-03-29
52,Revathi Nair 52,35,Female,Chennai,mostly_nonveg,2024-11-24
53,Meena Kothari 53,43,Male,Chennai,mostly_veg,2025-08-02
54,Arun Balaji 54,51,Female,Chennai,flexitarian,2024-12-22
55,Priya Sundaram 55,27,Male,Chennai,mostly_nonveg,2025-09-01
56,Venkatesh Iyer 56,53,Male,Chennai,mostly_nonveg,2024-09-23
57,Ramesh Babu 57,31,Male,Chennai,mostly_nonveg,2025-09-08
58,Priya Sundaram 58,48,Male,Chennai,mostly_veg,2024-11-18
59,Arun Balaji 59,32,Male,Chennai,mostly_veg,2025-09-26
